category,survey_value,year,period,doc_name,zip_path
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédulas de las caracteristas de la Vivienda,1997-4/CED-100.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Carateristicas de los miembros del hogar,1997-4/CED-200.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Educación,1997-4/CED-300.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Salud,1997-4/CED-400.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Empleo e Ingresos,1997-4/CED-500.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Gastos del Hogar,1997-4/CED-600-I.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Instituciones Benéficas y Otros gastos.,1997-4/CED-600-II-III.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Transportes y Servicios a la Vivienda,1997-4/CED-600-IV-V.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Otros gastos en salud y gastos de Transferencias,1997-4/CED-600-VIII-IX.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,"Cédula de Esparcimiento, DIversión, cultura y Vestido y Calzado",1997-4/CED-600-VI-VII.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Equipamiento del Hogar,1997-4/CED-600-XII.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Muebles y enseres y Otros Bienes y Servicios,1997-4/CED-600-X-XI.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula de Programas Sociales,1997-4/CED-700.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Cédula del Módulo Comunal,1997-4/CED-COMUNAL.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Financiamiento de Programas Sociales,1997-4/CED-FINANCIAMIENTO-DE-PROGRAMA.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Proyectos de Inversión Social,1997-4/CED-INVERSION-SOCIAL.zip
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,1997,Trimestre 4,Código nuevo de enfermedades,1997-4/CodigoEnferm974.zip
